College Name,Accepted Skills,Projects
Bengaluru Polytechnic,Agile | CI/CD | Django | MongoDB | Rust | Socket.IO | Storybook | TDD | TypeScript,Anomaly Detector | Crypto Arbitrage Bot | Fitness Tracker | Memory Allocator Demo | Regex Visualizer | Spam Filter
Bengaluru School of Engineering,Agile | Flask | GraphQL | Java | Node.js | Pandas | Terraform | TypeScript | scikit-learn,Blockchain Wallet Demo | Forum Platform | Sentiment Analyzer | Todo API | VR Gallery
Bengaluru University,Azure | CI/CD | Flask | Kotlin | Kubernetes | Matplotlib | Node.js | Python | Rust,Anomaly Detector | Chat App | Music Streaming Prototype | Stock Price Tracker
Bhopal Academy of Science,Elasticsearch | Express | Flask | Go | Java | Kubernetes | Socket.IO | TDD | Terraform,Auto-Grader | E-Commerce Site | Forum Platform | Music Streaming Prototype | Note Taking App | Todo API
Bhopal Center for AI,Bash | CI/CD | Docker | GCP | Git | Node.js | Python | Rust | TDD | TensorFlow,Anomaly Detector | Blockchain Wallet Demo | Fraud Detection | Handwriting OCR | Spam Filter
Bhopal Center for Data Science,Express | Go | GraphQL | Node.js | Python | React | Socket.IO | TensorFlow,Blockchain Wallet Demo | Blog CMS | Memory Allocator Demo | Network Packet Sniffer | Sentiment Analyzer | Spam Filter
Bhopal College,C | FastAPI | GraphQL | Kotlin | Kubernetes | Python | Storybook | TypeScript,Chat App | Course Planner | Handwriting OCR | IoT Sensor Monitor | Recommendation Engine
Bhopal College of Computing,AWS | Docker | Git | GraphQL | OpenCV | RabbitMQ | Socket.IO | Storybook,Chat App | Code Editor Lite | Recommendation Engine | Social Graph Analyzer
Bhopal College of Information Sciences,C | Express | GCP | Git | MongoDB | Rust | Storybook | Terraform,Fitness Tracker | IoT Sensor Monitor | Map Routing App | Quiz App | Scheduling System | Sentiment Analyzer | Weather Dashboard
Bhopal Institute of Technology,Azure | Docker | Pandas | RabbitMQ | React | scikit-learn,Chat App | Edge Caching Simulator | File Sharing Service | Log Parser | Memory Allocator Demo | Smart Attendance | VR Gallery
Bhopal Polytechnic,Bash | Docker | Java | Kubernetes | PyTorch | Redis | Swift | Tailwind CSS | TensorFlow | Terraform,Chat App | Event Ticketing | Face Detection Tool | File Sharing Service | Job Portal | Log Parser | Stock Price Tracker
Bhopal School of Engineering,CI/CD | Elasticsearch | Flask | Java | Kotlin | PyTorch | React | Rust,AR Ruler | Blockchain Wallet Demo | Expense Splitter | Job Portal | Social Graph Analyzer | Weather Dashboard
Bhopal University,Agile | C++ | Git | GraphQL | Pandas,Blog CMS | E-Commerce Site | Fitness Tracker | Multi-tenant SaaS | Regex Visualizer | Search Engine Mini | Speech-to-Text
Birla Institute of Technology Aaravpur,Agile | Bash | CI/CD | Kafka | Kotlin | PyTorch | Storybook | TDD | scikit-learn,E-Commerce Site | Gesture Recognition | Map Routing App | Multi-tenant SaaS | News Aggregator | URL Shortener
Birla Institute of Technology Amritsar,AWS | Azure | GCP | Git | Go | Python | React | Redis | TensorFlow,E-Commerce Site | File Sharing Service | Fraud Detection | Image Classifier | Network Packet Sniffer | Note Taking App | Scheduling System
Birla Institute of Technology Baroda,C++ | GCP | Git | Java | Matplotlib | PyTorch | Storybook | TensorFlow,Blog CMS | DB Index Visualizer | E-Commerce Site | Edge Caching Simulator | Event Ticketing | Music Streaming Prototype | News Aggregator
Birla Institute of Technology Belagavi,C | FastAPI | Kafka | Rust | Socket.IO,Expense Splitter | Handwriting OCR | Network Packet Sniffer | Note Taking App | Scheduling System | Spam Filter
Birla Institute of Technology Bengaluru,Azure | Flask | Java | Kafka | Kotlin | NumPy | PyTorch | Python | scikit-learn,Course Planner | Job Portal | Portfolio Website | URL Shortener
Birla Institute of Technology Bhopal,Agile | Git | Java | Kafka | Matplotlib | MongoDB | Redis | Rust | TypeScript | scikit-learn,Compiler Tiny | Event Ticketing | Face Detection Tool | Forum Platform | Job Portal | Social Graph Analyzer | Speech-to-Text
Birla Institute of Technology Chandipur,Azure | Django | GCP | Kafka | Kubernetes | NumPy | TDD | Tailwind CSS,Blockchain Wallet Demo | Crypto Arbitrage Bot | Gesture Recognition | Handwriting OCR | Music Streaming Prototype
Birla Institute of Technology Chennai,Agile | Bash | CI/CD | Docker | Flask | Linux | Pandas | RabbitMQ | Tailwind CSS,Auto-Grader | Fitness Tracker | Memory Allocator Demo | Scheduling System | Todo API
Birla Institute of Technology Coimbatore,AWS | C | FastAPI | GCP | Kotlin | Python | Redis | Socket.IO | Tailwind CSS | TensorFlow,Event Ticketing | Fraud Detection | Regex Visualizer | Social Graph Analyzer | Spam Filter
Birla Institute of Technology Dehradun,Azure | Flask | GraphQL | Kafka | Linux | Rust | Socket.IO,Anomaly Detector | Code Editor Lite | DB Index Visualizer | Smart Attendance
Birla Institute of Technology Ernakulam,Azure | Git | Kafka | Kotlin | Linux | Pandas | Python | React | Storybook,Crypto Arbitrage Bot | Social Graph Analyzer | URL Shortener | Weather Dashboard
Birla Institute of Technology Faridabad,Azure | C | Django | Flask | Kotlin | Pandas | Swift | TensorFlow,Face Detection Tool | News Aggregator | Note Taking App | Recommendation Engine | Speech-to-Text | URL Shortener
Birla Institute of Technology Gurugram,CI/CD | Flask | Kafka | Kubernetes | Pandas | React,Blockchain Wallet Demo | Course Planner | Crypto Arbitrage Bot | E-Commerce Site | Edge Caching Simulator | Handwriting OCR | Note Taking App
Birla Institute of Technology Guwahati,C++ | Kotlin | PostgreSQL | PyTorch | Rust | Terraform,Blog CMS | Course Planner | Crypto Arbitrage Bot | Fraud Detection
Birla Institute of Technology Gwalior,Agile | Git | Java | NumPy | Pandas | RabbitMQ | Storybook | Swift | Tailwind CSS | TypeScript,Compiler Tiny | Fitness Tracker | Gesture Recognition | Handwriting OCR | IoT Sensor Monitor | Log Parser
Birla Institute of Technology Hubballi,Agile | Azure | Django | FastAPI | Redis | Rust | Tailwind CSS | Terraform | TypeScript,Blockchain Wallet Demo | Fitness Tracker | Gesture Recognition | Portfolio Website | Stock Price Tracker
Birla Institute of Technology Hyderabad,Azure | FastAPI | Socket.IO | TDD | TensorFlow | Terraform,Music Streaming Prototype | Portfolio Website | Search Engine Mini | Social Graph Analyzer | URL Shortener
Birla Institute of Technology Indore,Node.js | Python | React | Socket.IO | scikit-learn,Anomaly Detector | Blockchain Wallet Demo | Course Planner | Crypto Arbitrage Bot | Fraud Detection
Birla Institute of Technology Jabalpur,Django | Kubernetes | NumPy | OpenCV | Pandas | Python | Terraform,Fitness Tracker | Handwriting OCR | Quiz App | Stock Price Tracker | URL Shortener
Birla Institute of Technology Jaipur,C++ | Git | Kafka | Python | TensorFlow,Chat App | Log Parser | Multi-tenant SaaS | Recommendation Engine | Traffic Simulation | URL Shortener
Birla Institute of Technology Jodhpur,Django | Express | GCP | Swift | TDD,AR Ruler | News Aggregator | Portfolio Website | Spam Filter | Traffic Simulation | URL Shortener
Birla Institute of Technology Kochi,AWS | C | GCP | Kotlin | Linux | Swift | TypeScript,Blog CMS | Handwriting OCR | Scheduling System | Speech-to-Text
Birla Institute of Technology Kolkata,AWS | C | Flask | GCP | Kotlin | Node.js | Terraform | TypeScript,Anomaly Detector | Handwriting OCR | Job Portal | Network Packet Sniffer | Speech-to-Text | Stock Price Tracker | Traffic Simulation
Birla Institute of Technology Kozhikode,AWS | Azure | Django | Docker | Matplotlib | PyTorch | React | Swift | TDD | Tailwind CSS,IoT Sensor Monitor | Job Portal | Scheduling System | Sentiment Analyzer | URL Shortener
Birla Institute of Technology Lucknow,C++ | Flask | Kubernetes | Node.js | React | Redis | Rust | Socket.IO | TensorFlow | scikit-learn,Chat App | IoT Sensor Monitor | Job Portal | Log Parser | Search Engine Mini
Birla Institute of Technology Madurai,Azure | Docker | Flask | Linux | OpenCV | React | scikit-learn,Blockchain Wallet Demo | Code Editor Lite | Image Classifier | Weather Dashboard
Birla Institute of Technology Mumbai,AWS | Azure | Express | Flask | GraphQL | Java | Matplotlib | TDD | TypeScript,Compiler Tiny | Fitness Tracker | Map Routing App | Multi-tenant SaaS | Quiz App | Sentiment Analyzer | URL Shortener
Birla Institute of Technology Mysuru,Azure | Bash | CI/CD | Elasticsearch | Git,AR Ruler | Fitness Tracker | Network Packet Sniffer | Portfolio Website
Birla Institute of Technology Nagpur,Azure | C++ | GCP | Git | Kafka | Kotlin | PyTorch | React | TDD | scikit-learn,Code Editor Lite | Compiler Tiny | Map Routing App | Quiz App
Birla Institute of Technology Noida,C | Matplotlib | Node.js | Pandas | Storybook,Anomaly Detector | E-Commerce Site | Forum Platform | Multi-tenant SaaS | Portfolio Website | Scheduling System | Spam Filter
Birla Institute of Technology Ongole,Java | Kotlin | Python | React | TDD,Anomaly Detector | DB Index Visualizer | Event Ticketing | Gesture Recognition | Note Taking App | Smart Attendance | Stock Price Tracker
Birla Institute of Technology Patna,Django | Kafka | Kotlin | Kubernetes | MongoDB | Pandas | Python | Socket.IO,IoT Sensor Monitor | Map Routing App | News Aggregator | Recommendation Engine | URL Shortener
Birla Institute of Technology Pune,Azure | Bash | C | CI/CD | Docker | Java | Kotlin | Swift | Tailwind CSS | TypeScript,Auto-Grader | File Sharing Service | Log Parser | URL Shortener
Birla Institute of Technology Quilon,Azure | CI/CD | GCP | Git | Java | Kafka | NumPy | React,Event Ticketing | Memory Allocator Demo | Music Streaming Prototype | Recommendation Engine
Birla Institute of Technology Raipur,Agile | CI/CD | Kotlin | Socket.IO | Terraform,Compiler Tiny | Image Classifier | Regex Visualizer | Search Engine Mini
Birla Institute of Technology Ranchi,CI/CD | Django | Kubernetes | React | Socket.IO | TensorFlow,Gesture Recognition | Stock Price Tracker | Traffic Simulation | URL Shortener
Birla Institute of Technology Salem,Bash | Django | Docker | Express | Go | MongoDB | NumPy | Redis | TDD | Terraform,AR Ruler | Anomaly Detector | Blog CMS | Memory Allocator Demo | News Aggregator | Note Taking App | Scheduling System
Birla Institute of Technology Surat,Azure | Docker | Flask | Git | Kotlin | Kubernetes | RabbitMQ | Tailwind CSS | TypeScript,Anomaly Detector | Auto-Grader | Blockchain Wallet Demo | Compiler Tiny | Edge Caching Simulator | Expense Splitter | Quiz App
Birla Institute of Technology Thane,Elasticsearch | Git | Kotlin | OpenCV | React | Socket.IO | Storybook,Anomaly Detector | Memory Allocator Demo | Recommendation Engine | Social Graph Analyzer | Spam Filter
Birla Institute of Technology Thiruvananthapuram,AWS | Go | Kubernetes | NumPy | Redis | Storybook | Swift | Tailwind CSS | TypeScript,Auto-Grader | Chat App | Course Planner | Crypto Arbitrage Bot | Event Ticketing | Smart Attendance
Birla Institute of Technology Thrissur,Git | Go | Kubernetes | OpenCV | RabbitMQ | Swift | TensorFlow | scikit-learn,Auto-Grader | Expense Splitter | Fraud Detection | Image Classifier | Job Portal | Smart Attendance | Weather Dashboard
Birla Institute of Technology Trichy,Bash | Flask | Java | Socket.IO | scikit-learn,Blog CMS | Course Planner | Expense Splitter | Network Packet Sniffer | Note Taking App | Regex Visualizer | Social Graph Analyzer
Birla Institute of Technology Udaipur,Agile | Flask | Linux | Node.js | Python | Socket.IO,Auto-Grader | Event Ticketing | Face Detection Tool | Gesture Recognition | Social Graph Analyzer
Birla Institute of Technology Varanasi,Agile | C++ | Flask | Java | React | TDD | Terraform,Compiler Tiny | E-Commerce Site | File Sharing Service | Image Classifier | Map Routing App | Music Streaming Prototype | Recommendation Engine
Birla Institute of Technology Vijayawada,C++ | Docker | Git | GraphQL | Kotlin | Matplotlib | MongoDB | Pandas | Storybook,Compiler Tiny | DB Index Visualizer | E-Commerce Site | Edge Caching Simulator | Sentiment Analyzer | URL Shortener
Birla Institute of Technology Visakhapatnam,Azure | Bash | Kafka | Kubernetes | OpenCV | PostgreSQL | RabbitMQ | React | TDD | Terraform,Anomaly Detector | Code Editor Lite | Event Ticketing | Image Classifier | Map Routing App | Scheduling System | Todo API
Birla Institute of Technology Warangal,Bash | C++ | Express | FastAPI | Node.js | PyTorch | TDD | scikit-learn,Anomaly Detector | Compiler Tiny | Note Taking App | Traffic Simulation
Birla Institute of Technology Xavierabad,Azure | Express | Go | GraphQL | TensorFlow,Handwriting OCR | Image Classifier | Log Parser | Search Engine Mini | Weather Dashboard
Birla Institute of Technology Yamunanagar,Agile | Bash | Express | Matplotlib | OpenCV | Swift | TDD | scikit-learn,Compiler Tiny | Portfolio Website | Search Engine Mini | Todo API
Birla Institute of Technology Zirakpur,AWS | Django | GCP | MongoDB | PyTorch | React | Rust,Auto-Grader | Compiler Tiny | Crypto Arbitrage Bot | Edge Caching Simulator | Handwriting OCR | Image Classifier | Stock Price Tracker
Chandipur Academy of Science,Azure | CI/CD | Java | Matplotlib | Node.js | PyTorch | React,Compiler Tiny | Event Ticketing | Handwriting OCR | Spam Filter
Chandipur Center for AI,Docker | Linux | Matplotlib | RabbitMQ | TDD,Course Planner | DB Index Visualizer | IoT Sensor Monitor | Music Streaming Prototype | Portfolio Website | Quiz App | Todo API
Chandipur Center for Data Science,Bash | Django | Elasticsearch | FastAPI | Flask | GraphQL | Java | Linux | PyTorch | Swift,E-Commerce Site | Gesture Recognition | IoT Sensor Monitor | Network Packet Sniffer | Smart Attendance | Traffic Simulation
Chandipur College,C++ | Kafka | Pandas | Redis | Swift | Tailwind CSS,Course Planner | Edge Caching Simulator | News Aggregator | Note Taking App | Quiz App | Social Graph Analyzer
Chandipur College of Computing,AWS | Express | Go | Rust | Socket.IO | Terraform,Compiler Tiny | Face Detection Tool | Fraud Detection | Memory Allocator Demo | Multi-tenant SaaS | Recommendation Engine | Smart Attendance
Chandipur College of Information Sciences,Azure | Express | Go | Tailwind CSS | TensorFlow,Course Planner | IoT Sensor Monitor | Recommendation Engine | URL Shortener
Chandipur Institute of Technology,CI/CD | FastAPI | Java | Kotlin | MongoDB | Node.js | RabbitMQ | Redis | Tailwind CSS,Anomaly Detector | Compiler Tiny | E-Commerce Site | Fitness Tracker | Gesture Recognition | Spam Filter | Todo API
Chandipur Polytechnic,C | Node.js | PyTorch | RabbitMQ | Socket.IO,Blog CMS | Search Engine Mini | Social Graph Analyzer | Traffic Simulation
Chandipur School of Engineering,Agile | Kubernetes | OpenCV | TensorFlow | TypeScript,Code Editor Lite | Face Detection Tool | Portfolio Website | Social Graph Analyzer | Speech-to-Text | Todo API
Chandipur University,CI/CD | Kafka | Pandas | React | TDD | Terraform,DB Index Visualizer | Edge Caching Simulator | Face Detection Tool | IoT Sensor Monitor | Memory Allocator Demo | News Aggregator | URL Shortener
Chennai Academy of Science,Django | Java | Linux | Storybook | scikit-learn,E-Commerce Site | File Sharing Service | Music Streaming Prototype | News Aggregator | Quiz App | Traffic Simulation | URL Shortener
Chennai Center for AI,Bash | FastAPI | Java | Matplotlib | PyTorch | Redis | Storybook | Terraform | scikit-learn,Auto-Grader | Fraud Detection | Map Routing App | News Aggregator | Recommendation Engine | Smart Attendance | Traffic Simulation
Chennai Center for Data Science,Azure | Bash | C++ | PostgreSQL | React | scikit-learn,Fraud Detection | Memory Allocator Demo | Multi-tenant SaaS | Portfolio Website | Quiz App | Todo API
Chennai College,C++ | Django | Kafka | Kotlin | TypeScript,Fitness Tracker | Gesture Recognition | Smart Attendance | Weather Dashboard
Chennai College of Computing,Azure | Bash | GCP | Git | Go | Linux | OpenCV | PostgreSQL | React | Swift,AR Ruler | Code Editor Lite | Crypto Arbitrage Bot | Handwriting OCR | IoT Sensor Monitor | Note Taking App | Speech-to-Text
Chennai College of Information Sciences,C++ | Kubernetes | Pandas | PostgreSQL | RabbitMQ | Terraform,E-Commerce Site | File Sharing Service | Fitness Tracker | Log Parser | Multi-tenant SaaS | Smart Attendance | Spam Filter
Chennai Institute of Technology,Azure | C | Java | Matplotlib | RabbitMQ | React | Socket.IO,Blockchain Wallet Demo | Blog CMS | File Sharing Service | Handwriting OCR | Map Routing App | News Aggregator
Chennai Polytechnic,GraphQL | Java | Kotlin | NumPy | React | TensorFlow | TypeScript,Compiler Tiny | Face Detection Tool | Fitness Tracker | Gesture Recognition | Smart Attendance
Chennai School of Engineering,Git | Kubernetes | Matplotlib | OpenCV | Rust | Socket.IO | Storybook | TensorFlow,AR Ruler | Auto-Grader | Edge Caching Simulator | Music Streaming Prototype | News Aggregator | Portfolio Website
Chennai University,Bash | C++ | GraphQL | Kubernetes | Node.js | OpenCV | RabbitMQ | Storybook | Tailwind CSS | TypeScript,Anomaly Detector | Auto-Grader | Blog CMS | Search Engine Mini | Sentiment Analyzer
Christ College of Engineering Aaravpur,FastAPI | Java | NumPy | PyTorch | TensorFlow | TypeScript | scikit-learn,Course Planner | Fraud Detection | Map Routing App | Portfolio Website | Recommendation Engine
Christ College of Engineering Amritsar,AWS | C | Docker | FastAPI | Git | Java | Matplotlib | PostgreSQL | Tailwind CSS | TypeScript,Anomaly Detector | Course Planner | Image Classifier | Memory Allocator Demo | Speech-to-Text
Christ College of Engineering Baroda,Azure | C | Kafka | Rust | Tailwind CSS | scikit-learn,Auto-Grader | File Sharing Service | Forum Platform | Gesture Recognition
Christ College of Engineering Belagavi,AWS | Docker | FastAPI | GCP | Kafka | Python | Redis,Quiz App | Speech-to-Text | URL Shortener | VR Gallery
Christ College of Engineering Bengaluru,Azure | CI/CD | Docker | Kubernetes | Matplotlib | React,Chat App | Code Editor Lite | DB Index Visualizer | E-Commerce Site
Christ College of Engineering Bhopal,FastAPI | GCP | GraphQL | Java | Matplotlib | MongoDB | Rust | TDD | TypeScript | scikit-learn,Code Editor Lite | Expense Splitter | Face Detection Tool | Forum Platform | IoT Sensor Monitor
Christ College of Engineering Chandipur,C++ | CI/CD | Docker | Java | OpenCV | React | Redis | TypeScript,Anomaly Detector | Network Packet Sniffer | Scheduling System | Stock Price Tracker | Weather Dashboard
Christ College of Engineering Chennai,Bash | Django | Go | Linux | MongoDB | PostgreSQL | Swift | scikit-learn,Event Ticketing | Handwriting OCR | Portfolio Website | Sentiment Analyzer
Christ College of Engineering Coimbatore,Azure | C++ | CI/CD | GCP | Go | Matplotlib | PyTorch | TypeScript,Blog CMS | Chat App | Code Editor Lite | Event Ticketing | Gesture Recognition | Job Portal | URL Shortener
Christ College of Engineering Dehradun,Azure | GCP | Java | Matplotlib | MongoDB | OpenCV | PostgreSQL | RabbitMQ | Swift | TDD,Auto-Grader | Blockchain Wallet Demo | Crypto Arbitrage Bot | Edge Caching Simulator | Sentiment Analyzer | Stock Price Tracker
Christ College of Engineering Ernakulam,Azure | Elasticsearch | FastAPI | GCP | NumPy | Socket.IO,Auto-Grader | Code Editor Lite | Compiler Tiny | E-Commerce Site
Christ College of Engineering Faridabad,Agile | C | Flask | GCP | Git | GraphQL | PostgreSQL | Rust | TDD | TensorFlow,Code Editor Lite | Face Detection Tool | Fitness Tracker | Job Portal | Search Engine Mini
Christ College of Engineering Gurugram,Bash | Docker | GCP | Kubernetes | MongoDB | NumPy | React | Redis | Terraform | scikit-learn,E-Commerce Site | Fraud Detection | Job Portal | Social Graph Analyzer | Speech-to-Text
Christ College of Engineering Guwahati,CI/CD | Kubernetes | Pandas | Rust | Terraform,Handwriting OCR | Log Parser | Music Streaming Prototype | Search Engine Mini | Sentiment Analyzer
Christ College of Engineering Gwalior,Go | Node.js | Pandas | Python | Storybook | TDD | Terraform | TypeScript,Blockchain Wallet Demo | DB Index Visualizer | IoT Sensor Monitor | Network Packet Sniffer | Recommendation Engine | Social Graph Analyzer
Christ College of Engineering Hubballi,Django | Flask | PostgreSQL | Socket.IO | TDD | Terraform | scikit-learn,Anomaly Detector | Chat App | Compiler Tiny | Face Detection Tool
Christ College of Engineering Hyderabad,Elasticsearch | Express | GCP | GraphQL | Matplotlib | Pandas | Python | Socket.IO | TypeScript,Course Planner | DB Index Visualizer | Expense Splitter | File Sharing Service | Log Parser | Quiz App | Todo API
Christ College of Engineering Indore,Agile | C | Matplotlib | Node.js | OpenCV | Python | Storybook | TDD | TensorFlow,Crypto Arbitrage Bot | Fitness Tracker | Gesture Recognition | IoT Sensor Monitor | Job Portal | Map Routing App | URL Shortener
Christ College of Engineering Jabalpur,CI/CD | GraphQL | Kafka | Pandas | PyTorch | React | Redis | Swift | Terraform,Crypto Arbitrage Bot | Expense Splitter | IoT Sensor Monitor | Multi-tenant SaaS | Music Streaming Prototype | Search Engine Mini | Spam Filter
Christ College of Engineering Jaipur,AWS | Express | GCP | Kafka | OpenCV | RabbitMQ | TDD | Tailwind CSS,AR Ruler | Compiler Tiny | Course Planner | Sentiment Analyzer | VR Gallery
Christ College of Engineering Jodhpur,AWS | Agile | Bash | C | GCP | Go | Kotlin | Linux | PostgreSQL | Swift,Expense Splitter | Image Classifier | Multi-tenant SaaS | URL Shortener | VR Gallery
Christ College of Engineering Kochi,Express | Git | GraphQL | PyTorch | Tailwind CSS,Anomaly Detector | Blockchain Wallet Demo | Stock Price Tracker | URL Shortener | Weather Dashboard
Christ College of Engineering Kolkata,C++ | CI/CD | Express | Go | Java | Kafka | Pandas | Swift | TypeScript,Auto-Grader | Compiler Tiny | Gesture Recognition | Regex Visualizer | Traffic Simulation | VR Gallery
Christ College of Engineering Kozhikode,Elasticsearch | Go | Socket.IO | Tailwind CSS | scikit-learn,Blockchain Wallet Demo | Face Detection Tool | Memory Allocator Demo | Music Streaming Prototype | Quiz App | URL Shortener | VR Gallery
Christ College of Engineering Lucknow,Bash | C | Flask | Kotlin | Kubernetes | Linux | Matplotlib | MongoDB | Tailwind CSS | TensorFlow,Edge Caching Simulator | Event Ticketing | Fitness Tracker | Regex Visualizer
Christ College of Engineering Madurai,Express | GraphQL | Kubernetes | Matplotlib | Node.js | Pandas | RabbitMQ | Socket.IO | Tailwind CSS | TypeScript,Compiler Tiny | Edge Caching Simulator | Recommendation Engine | Smart Attendance
Christ College of Engineering Mumbai,C++ | CI/CD | Kotlin | Kubernetes | NumPy | Redis | Swift | Tailwind CSS | Terraform | scikit-learn,E-Commerce Site | Expense Splitter | Job Portal | Multi-tenant SaaS | Quiz App | Smart Attendance | Todo API
Christ College of Engineering Mysuru,GraphQL | OpenCV | React | Rust | Swift | scikit-learn,DB Index Visualizer | Note Taking App | Recommendation Engine | Smart Attendance
Christ College of Engineering Nagpur,Kotlin | Kubernetes | OpenCV | RabbitMQ | Redis | Swift | scikit-learn,AR Ruler | Event Ticketing | Smart Attendance | URL Shortener
Christ College of Engineering Noida,Flask | Go | Python | Rust | Socket.IO | TDD | TypeScript,Event Ticketing | File Sharing Service | Memory Allocator Demo | Network Packet Sniffer | Scheduling System | Sentiment Analyzer
